"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrests_B_pct","arrests_W_pct","pct_arrests","pct_black_arrests","pct_white_arrests","SIR","SIR_B","SIR_W"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,0.581991435980942,0.417948254025692,0.5258317211633,0.456027597939606,0.842963143169931,15.3763580834575,13.329296775977,24.5874615389456
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,0.529087417136485,0.467133387026826,0.587101233130843,0.433480533983047,1.21007863906275,17.1657400622227,12.6690128409651,35.2568629767701
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,0.518830004328737,0.477397810896048,0.562024260540127,0.370730414033847,1.37586882908572,16.4332873691039,10.8370721118992,40.0673327976029
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,0.5171583797538,0.482085138573688,0.590552780147029,0.418918166118879,1.10202798302154,17.2645895772702,12.2416994277577,32.111661856273
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,0.538020699683517,0.461038405611154,0.528457122191583,0.386577346198759,0.952128599187423,15.447244174921,11.2947967912506,27.7286190014215
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,0.495186887520597,0.497788569941896,0.533524593956781,0.446756904780534,0.679209560998698,15.5949009220822,13.0469101535766,19.8129618227964
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,0.529237320355866,0.467645046004106,0.585720012471605,0.552775792232547,0.697199863961002,17.1214075915824,16.1425058110791,20.3405944336188
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,0.540696238992675,0.4559295531232,0.539736129003598,0.536282752428373,0.611411543979693,15.7772878399613,15.6598921517117,17.8392556281757
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,0.474948375176611,0.518421910661885,0.405804772617,0.369681076051096,0.505778814547768,11.8623805807212,10.7940839109968,14.7589928481854
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,0.544447862196247,0.452168563518917,0.0987811920610316,0.0933003004585947,0.106052954332299,2.88866489672784,2.72666808735791,3.09766075042138
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,0.697257113560625,0.30248654191233,0.11336879741868,0.149854002534296,0.0733329190230564,3.31537529885077,4.37913556117093,2.14255790629611
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,0.714978971206729,0.284697508896797,0.0875329310784397,0.115822021906609,0.0550653901508041,2.5598806641625,3.38488641742654,1.60881858351862
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,0.572603606453654,0.42708003796267,0.0880934459591313,0.0919668716020527,0.084900320734545,2.57630555048042,2.68784337350684,2.48046912894946
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,0.628893503411451,0.370809848709582,0.0911032413289719,0.114961227699149,0.0744890054227996,2.66439097397265,3.35955732004922,2.17649206783596
"15",10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,0.646568821896073,0.349067830226101,0.0680510923280495,0.0873479449118482,0.0524402598176509,1.99021311510917,2.55264952147941,1.53225041575652
"16",10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,0.587094987538078,0.409858764885073,0.0990642408276392,0.147416730408177,0.0743307719351112,2.89718371488915,4.3061565878606,2.17244296147542
"17",10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,0.560214693056021,0.439449849043945,0.0827065582415143,0.125460145744121,0.065660869129367,2.41877369882781,3.66420994381877,1.91905579242254
"18",10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,0.626349892008639,0.37025609379821,0.0924895092917701,0.152734933413588,0.0612838976558909,2.7048179862342,4.46078771710612,1.791083123879
"19",10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,0.706506562412734,0.287629153867635,0.070139691620462,0.0964875481484306,0.0439213679587224,2.05172558517744,2.82097477774442,1.28395129673988
"20",10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873,0.700803588114371,0.291534292655578,0.106148687526041,0.13893520062243,0.0709381110454277,3.10503856273373,4.06212765926579,2.07356474025608
